"dt","revenue"
2019-10-01,6275964.01
2019-10-02,6213628.53
2019-10-03,6233782.98
2019-10-04,8623684.47
2019-10-05,7341596.91
2019-10-06,6737660.78
2019-10-07,6348189.06
2019-10-08,6819832.28
2019-10-09,6855511.13
2019-10-10,6665600.86
2019-10-11,7716208.55
2019-10-12,7307691.57
2019-10-13,8457606.49
2019-10-14,9356691.65
2019-10-15,8653065.29
2019-10-16,9747239.24
2019-10-17,9026143.14
2019-10-18,8155785.13
2019-10-19,7562479.36
2019-10-20,7515713.04
2019-10-21,7862635.00
2019-10-22,7914693.04
2019-10-23,7615371.54
2019-10-24,7470344.60
2019-10-25,7248617.98
2019-10-26,6917602.84
2019-10-27,7198460.82
2019-10-28,6591728.24
2019-10-29,6433438.43
2019-10-30,6634069.51
2019-10-31,6456465.80
2019-11-01,6949415.03
2019-11-02,6389808.37
2019-11-03,6656920.09
2019-11-04,8033899.65
2019-11-05,7250120.41
2019-11-06,7397760.63
2019-11-07,7062018.53
2019-11-08,7742039.59
2019-11-09,6646804.30
2019-11-10,6633475.29
2019-11-11,7255189.94
2019-11-12,6782115.20
2019-11-13,6812879.77
2019-11-14,6949925.13
2019-11-15,0
2019-11-16,23442969.87
2019-11-17,57774481.92
2019-11-18,8251007.90
2019-11-19,7291407.76
2019-11-20,7089210.27
2019-11-21,6970110.37
2019-11-22,6990846.23
2019-11-23,6339110.07
2019-11-24,6470750.90
2019-11-25,7053766.60
2019-11-26,6893392.91
2019-11-27,7161341.26
2019-11-28,7163831.66
2019-11-29,9635318.38
2019-11-30,8104972.47
2019-12-01,8153753.43
2019-12-02,8320964.96
2019-12-03,7367826.76
2019-12-04,7370625.26
2019-12-05,7519208.14
2019-12-06,8121951.90
2019-12-07,8007105.20
2019-12-08,7499055.50
2019-12-09,8144447.55
2019-12-10,8243832.67
2019-12-11,7689108.73
2019-12-12,7862310.09
2019-12-13,7829934.23
2019-12-14,7666737.93
2019-12-15,10729026.19
2019-12-16,20260353.81
2019-12-17,15348318.35
2019-12-18,14681222.37
2019-12-19,14088796.54
2019-12-20,13392220.50
2019-12-21,12721600.28
2019-12-22,12817259.59
2019-12-23,13829263.72
2019-12-24,13295540.05
2019-12-25,13153149.51
2019-12-26,13122116.74
2019-12-27,12659247.12
2019-12-28,13176332.83
2019-12-29,14346608.07
2019-12-30,15060489.88
2019-12-31,11698421.24
2020-01-01,2422047.82
2020-01-02,0
2020-01-03,15472488.68
2020-01-04,18008001.20
2020-01-05,17768931.88
2020-01-06,17617376.18
2020-01-07,16888256.26
2020-01-08,16820635.86
2020-01-09,16622378.94
2020-01-10,17104291.00
2020-01-11,15742050.16
2020-01-12,16084279.76
2020-01-13,17309955.58
2020-01-14,16714930.74
2020-01-15,17521538.62
2020-01-16,19038864.32
2020-01-17,23072643.32
2020-01-18,21037702.34
2020-01-19,20744377.50
2020-01-20,21162942.02
2020-01-21,19982700.00
2020-01-22,19161334.84
2020-01-23,18839311.04
2020-01-24,16950299.72
2020-01-25,16501558.48
2020-01-26,16271556.72
2020-01-27,16620805.66
2020-01-28,16397127.66
2020-01-29,16956976.14
2020-01-30,16934757.66
2020-01-31,20299620.10
2020-02-01,9641907.86
2020-02-02,9397108.81
2020-02-03,8881343.35
2020-02-04,8523145.72
2020-02-05,8782747.30
2020-02-06,8946085.28
2020-02-07,8767202.63
2020-02-08,7986638.68
2020-02-09,7949458.79
2020-02-10,14679225.97
2020-02-11,19508582.97
2020-02-12,35471760.02
2020-02-13,27557237.51
2020-02-14,25268080.45
2020-02-15,23787543.08
2020-02-16,27785696.43
2020-02-17,20016692.23
2020-02-18,11129508.88
2020-02-19,9653117.26
2020-02-20,9680605.77
2020-02-21,8940442.62
2020-02-22,8737561.63
2020-02-23,8819072.99
2020-02-24,8686254.35
2020-02-25,8813543.07
2020-02-26,8615781.26
2020-02-28,8702630.22
2020-02-29,7885111.67
2020-03-01,9797837.26
2020-03-02,17919694.75
2020-03-03,14194548.31
2020-03-04,13696054.03
2020-03-05,13489015.34
2020-03-06,13207018.52
2020-03-07,13525554.15
2020-03-08,12424191.34
2020-03-09,13148751.19
2020-03-10,13204593.78
2020-03-11,12709511.47
2020-03-12,11617513.96
2020-03-13,11171834.18
2020-03-14,10930216.73
2020-03-15,11161230.02
2020-03-16,9787592.31
2020-03-17,9317813.72
2020-03-18,8448739.35
2020-03-19,8489871.31
2020-03-20,8407359.31
2020-03-21,8231877.42
2020-03-22,7561552.69
2020-03-23,7918435.45
2020-03-24,8064679.75
2020-03-25,8042752.01
2020-03-26,8265670.79
2020-03-27,8293957.68
2020-03-28,7813929.35
2020-03-29,6369797.09
2020-03-30,6915687.97
2020-03-31,7251127.09
2020-04-01,8232563.19
2020-04-02,9045980.30
2020-04-03,8612723.35
2020-04-04,7326872.10
2020-04-05,6537917.29
2020-04-06,6961658.57
2020-04-07,6683029.51
2020-04-08,7210305.09
2020-04-09,7334029.02
2020-04-10,8366729.66
2020-04-11,8467777.34
2020-04-12,8023408.00
2020-04-13,9084162.11
2020-04-14,9043191.12
2020-04-15,10291822.79
2020-04-16,10609928.55
2020-04-17,10372064.56
2020-04-18,9208434.12
2020-04-19,7755355.37
2020-04-20,6945.12
2020-04-21,12167.44
2020-04-22,9653549.99
2020-04-23,9480111.87
2020-04-24,9479701.52
2020-04-25,9388907.32
2020-04-26,9110739.61
2020-04-27,9614887.48
2020-04-28,9343979.88
2020-04-29,9440724.96
2020-04-30,9826124.88
