"dt","new_users","returning_users","new_orders","returning_orders","orders_per_new_user","orders_per_returning_user"
2019-10-01,14064,,19307,,1.3727957906712174,
2019-10-02,10040,3854,13527,5942,1.3473107569721114,1.5417747794499221
2019-10-03,8458,5264,11221,8034,1.326672972333885,1.5262158054711246
2019-10-04,10666,8548,14056,12985,1.3178323645227827,1.5190687880205895
2019-10-05,8287,8447,10813,12681,1.3048147701218777,1.5012430448680005
2019-10-06,7464,8632,9662,12509,1.2944801714898178,1.4491427247451343
2019-10-07,6638,8800,8439,12939,1.2713166616450737,1.4703409090909092
2019-10-08,7047,9543,9046,14026,1.2836668085710232,1.4697684166404694
2019-10-09,6476,9941,8280,14468,1.2785670166769612,1.455386782013882
2019-10-10,5911,10048,7635,14358,1.2916596176619861,1.4289410828025477
2019-10-11,6419,12399,8292,17932,1.2917899984421248,1.4462456649729818
2019-10-12,5883,12491,7513,17860,1.2770695223525412,1.429829477223601
2019-10-13,6214,15106,8090,21471,1.3018989378822015,1.4213557526810539
2019-10-14,5836,13552,7806,20599,1.3375599725839615,1.5199970484061394
2019-10-15,5429,13153,7257,19115,1.3367102597163383,1.4532806203907853
2019-10-16,7153,14840,9377,22017,1.310918495736055,1.4836253369272236
2019-10-17,5504,13891,7244,21074,1.3161337209302326,1.5170974011950185
2019-10-18,5061,13324,6509,19341,1.2861094645327011,1.4515911137796458
2019-10-19,4813,13085,6380,18277,1.3255765634739247,1.396790217806649
2019-10-20,4891,13304,6338,18760,1.2958495195256594,1.4101022248947686
2019-10-21,4784,13560,6118,19049,1.2788461538461537,1.4047935103244837
2019-10-22,4745,13545,6185,19200,1.303477344573235,1.41749723145072
2019-10-23,4498,13393,5843,18888,1.2990217874610939,1.4102889569177928
2019-10-24,4248,13046,5531,18468,1.302024482109228,1.4156063161122183
2019-10-25,3932,13268,5170,18759,1.3148524923702951,1.4138528791076275
2019-10-26,3759,12754,4906,17747,1.3051343442404895,1.3914850243061
2019-10-27,3905,13016,5156,18247,1.3203585147247119,1.4018899815611554
2019-10-28,3517,11798,4572,16540,1.2999715666761444,1.401932530937447
2019-10-29,3334,11431,4403,15971,1.3206358728254348,1.3971656023095091
2019-10-30,3408,11750,4454,16363,1.306924882629108,1.392595744680851
2019-10-31,3189,11638,4094,16005,1.2837880213232988,1.3752362948960302
2019-11-01,3546,12826,4581,17877,1.2918781725888324,1.3938094495555902
2019-11-02,3626,12561,4662,17202,1.2857142857142858,1.369476952471937
2019-11-03,3680,12870,4756,17389,1.2923913043478261,1.351126651126651
2019-11-04,4349,15566,5594,21295,1.2862727063692803,1.3680457407169473
2019-11-05,3984,14303,5155,19720,1.293925702811245,1.3787317346011325
2019-11-06,4161,14296,5379,19940,1.2927180966113916,1.3947957470621153
2019-11-07,3992,14251,5158,19705,1.2920841683366733,1.382709985264192
2019-11-08,4348,14497,5628,20086,1.2943882244710212,1.3855280402841967
2019-11-09,3758,13041,4866,17902,1.2948376796168175,1.3727474886895177
2019-11-10,3764,13264,4858,18020,1.2906482465462275,1.3585645355850422
2019-11-11,4009,14148,5251,19680,1.3098029433774008,1.3910093299406276
2019-11-12,3533,12839,4647,18078,1.3153127653552221,1.4080535867279382
2019-11-13,3481,12853,4662,17886,1.3392703246193622,1.3915817318913872
2019-11-14,3275,12718,4385,17739,1.3389312977099237,1.3947947790533102
2019-11-16,8326,38380,11639,56608,1.3979101609416287,1.4749348619072433
2019-11-17,18173,95716,27460,157735,1.5110328509327025,1.647948096452004
2019-11-18,3691,16321,5051,23486,1.3684638309401247,1.439004962931193
2019-11-19,3224,14381,4361,20606,1.352667493796526,1.4328628050900494
2019-11-20,3210,14427,4279,20668,1.3330218068535826,1.4325916683995286
2019-11-21,3329,14616,4377,20889,1.314809252027636,1.4291871921182266
